county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region
ALEUTIAN ISLANDS AREA,AK,683533,726596,764514,26,27,28,14,16,20,6,4,1,W
ANCHORAGE AREA,AK,47146,59297,256709,217,245,223,9,10,11,41,52,38,W
FAIRBANKS AREA,AK,141338,154913,204568,168,175,170,25,28,21,12,18,25,W
JUNEAU AREA,AK,210,214,127,8,8,12,0,0,0,5,4,8,W
KENAI PENINSULA AREA,AK,50810,85712,98035,93,119,137,9,18,17,12,18,19,W
AUTAUGA COUNTY,AL,107259,116050,145044,322,388,453,25,32,32,8,19,17,S
BALDWIN COUNTY,AL,167832,192082,223502,941,991,1119,24,37,48,90,91,95,S
BARBOUR COUNTY,AL,177189,207906,222066,421,498,587,40,48,43,9,21,36,S
BIBB COUNTY,AL,48022,50818,49630,177,202,228,6,10,10,6,10,15,S
BLOUNT COUNTY,AL,137426,140107,163638,1121,1199,1338,9,11,16,43,44,64,S
BULLOCK COUNTY,AL,144799,156332,185304,271,275,342,29,44,48,10,12,10,S
BUTLER COUNTY,AL,96427,99997,124491,455,520,593,18,13,17,19,29,31,S
CALHOUN COUNTY,AL,73841,90474,93248,570,685,733,4,6,8,39,52,45,S
CHAMBERS COUNTY,AL,109555,102153,121101,343,365,409,22,16,29,14,12,11,S
CHEROKEE COUNTY,AL,121504,119956,143656,441,487,588,24,17,23,12,20,22,S
CHILTON COUNTY,AL,99466,104106,114790,637,704,793,8,7,11,28,34,34,S
CHOCTAW COUNTY,AL,67950,84626,107544,215,299,404,9,11,14,7,20,16,S
CLARKE COUNTY,AL,61426,94506,116008,213,331,429,13,15,21,10,14,20,S
CLAY COUNTY,AL,68478,84379,79445,370,439,466,4,7,5,7,13,12,S
CLEBURNE COUNTY,AL,47200,49177,49205,338,366,380,5,3,3,18,17,22,S
COFFEE COUNTY,AL,175209,179311,194509,760,842,944,29,28,21,57,47,66,S
COLBERT COUNTY,AL,138135,145104,161360,488,563,686,37,41,42,12,44,47,S
CONECUH COUNTY,AL,82466,101657,134164,326,405,483,15,17,16,8,15,8,S
COOSA COUNTY,AL,40832,59172,61845,191,256,299,3,7,9,3,6,9,S
COVINGTON COUNTY,AL,166490,175735,193335,831,870,1006,22,25,25,27,36,51,S
CRENSHAW COUNTY,AL,111315,118184,134393,458,494,558,21,22,21,26,33,28,S
CULLMAN COUNTY,AL,196859,193771,206050,2086,2210,2303,5,6,9,122,165,176,S
DALE COUNTY,AL,134555,129105,134743,403,490,582,30,23,21,22,26,38,S
DALLAS COUNTY,AL,233422,250035,305641,408,486,557,71,66,87,21,40,30,S
DE KALB COUNTY,AL,210733,213440,221502,1894,2047,2228,13,5,6,114,133,168,S
ELMORE COUNTY,AL,104364,128572,141703,519,622,713,15,19,25,19,31,36,S
ESCAMBIA COUNTY,AL,85872,90646,102476,362,414,542,15,15,18,23,19,26,S
ETOWAH COUNTY,AL,85821,100517,117624,774,928,998,6,10,12,48,61,56,S
FAYETTE COUNTY,AL,64755,67365,72711,299,350,419,4,7,9,8,17,17,S
FRANKLIN COUNTY,AL,130063,127653,136815,767,834,896,12,14,14,42,48,47,S
GENEVA COUNTY,AL,195536,200162,215894,806,881,940,34,36,33,51,49,65,S
GREENE COUNTY,AL,128357,136725,168108,255,351,390,41,44,42,6,23,24,S
HALE COUNTY,AL,167583,154581,179618,382,441,481,38,33,39,12,22,17,S
HENRY COUNTY,AL,166949,171444,194660,357,421,475,50,46,50,11,17,18,S
HOUSTON COUNTY,AL,191810,207817,202983,753,862,955,38,39,29,41,58,63,S
JACKSON COUNTY,AL,204487,208014,226697,1139,1224,1295,33,33,33,40,60,83,S
JEFFERSON COUNTY,AL,35748,45053,48911,387,520,556,3,2,1,48,69,75,S
LAMAR COUNTY,AL,56102,59861,72334,299,362,447,4,4,3,16,20,30,S
