county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region
COFFEE COUNTY,AL,175209,179311,194509,760,842,944,29,28,21,57,47,66,S
COLBERT COUNTY,AL,138135,145104,161360,488,563,686,37,41,42,12,44,47,S
LAMAR COUNTY,AL,56102,59861,72334,299,362,447,4,4,3,16,20,30,S
MARENGO COUNTY,AL,199117,220526,231207,434,471,622,48,66,62,14,11,28,S
MARION COUNTY,AL,89228,105586,113618,566,658,748,7,9,9,11,23,27,S
TUSCALOOSA COUNTY,AL,96194,120542,134616,436,521,650,20,17,23,18,32,29,S
COLUMBIA COUNTY,AR,57253,66305,80909,320,411,477,6,4,9,17,12,27,S
FAULKNER COUNTY,AR,210692,223594,227593,1051,1103,1169,23,32,27,42,41,49,S
HOT SPRING COUNTY,AR,78498,80267,72175,419,526,512,7,5,5,15,35,18,S
MONROE COUNTY,AR,219444,234605,235409,278,306,369,87,86,72,8,6,4,S
POLK COUNTY,AR,122871,112409,113930,791,814,840,7,7,7,44,33,30,S
PRAIRIE COUNTY,AR,313232,312903,301134,401,486,489,112,114,87,6,6,7,S
STONE COUNTY,AR,136309,134351,114419,584,628,558,15,9,9,30,30,15,S
WASHINGTON COUNTY,AR,352322,362670,345518,2539,2853,2784,29,26,16,201,232,195,S
AMADOR COUNTY,CA,236222,218532,198135,367,371,359,32,39,34,34,31,39,W
MARIN COUNTY,CA,168879,167590,165935,260,285,274,67,66,64,22,49,40,W
NAPA COUNTY,CA,235290,258197,231037,1227,1197,1087,48,54,47,315,267,251,W
PLUMAS COUNTY,CA,119514,88132,103289,125,109,112,26,22,24,12,16,14,W
SISKIYOU COUNTY,CA,647446,669385,711269,689,765,796,124,144,138,37,44,44,W
YUBA COUNTY,CA,234781,222748,212609,719,654,629,34,36,48,116,93,120,W
BENT COUNTY,CO,796892,855503,761037,268,292,301,90,102,101,15,24,34,W
LINCOLN COUNTY,CO,1660146,1615140,1492271,447,489,466,294,302,287,9,14,25,W
MONTEZUMA COUNTY,CO,834018,843904,846678,661,623,622,70,76,68,33,49,35,W
SUMMIT COUNTY,CO,38467,34368,38109,22,21,24,7,8,8,1,2,3,W
TELLER COUNTY,CO,104010,83281,75437,81,67,65,19,21,17,7,5,5,W
CITRUS COUNTY,FL,70672,74264,93183,288,331,293,11,9,14,55,46,45,S
COLUMBIA COUNTY,FL,96968,98620,116586,523,535,573,12,13,14,38,34,36,S
HILLSBOROUGH COUNTY,FL,265443,287951,329293,2760,2754,2748,45,51,48,812,786,741,S
OKEECHOBEE COUNTY,FL,351885,384169,381895,418,400,326,75,79,80,75,58,31,S
BARROW COUNTY,GA,35851,40233,39490,386,411,421,2,3,2,39,30,25,S
CHATHAM COUNTY,GA,8518,10641,12715,40,51,59,4,4,5,10,8,15,S
COLUMBIA COUNTY,GA,26984,27042,41605,154,187,222,5,5,9,20,22,14,S
EVANS COUNTY,GA,40608,44076,55751,168,181,211,9,9,12,9,15,12,S
HABERSHAM COUNTY,GA,36074,39886,42024,455,452,409,1,2,2,58,62,51,S
JEFF DAVIS COUNTY,GA,72626,75815,106265,263,284,394,9,10,18,11,26,32,S
LAURENS COUNTY,GA,168051,179300,212563,599,622,803,35,33,38,38,23,28,S
