county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region,rn,strwt
PIERCE COUNTY,NE,297326,332862,319619,725,857,865,54,54,42,58,67,48,NC,805,10.23300971
JENNINGS COUNTY,IN,124694,131481,139111,658,671,751,14,13,14,42,36,38,NC,241,10.23300971
WAYNE COUNTY,OH,246938,263457,268434,1582,1734,1866,20,19,16,175,186,184,NC,913,10.23300971
VAN BUREN COUNTY,MI,206781,190251,197055,1164,1278,1464,23,17,9,56,66,55,NC,478,10.23300971
OZAUKEE COUNTY,WI,78772,85201,89331,448,483,527,6,5,5,56,49,48,NC,1028,10.23300971
CLEARWATER COUNTY,MN,210897,229537,213105,583,699,693,34,32,23,8,19,13,NC,496,10.23300971
POTTER COUNTY,SD,507101,552844,541015,321,371,341,163,180,176,10,24,16,NC,969,10.23300971
HARDIN COUNTY,IA,332358,337990,355823,986,1065,1208,56,36,42,90,115,132,NC,42,10.23300971
VERNON COUNTY,MO,402202,396638,400466,1249,1251,1320,86,78,69,42,38,28,NC,676,10.23300971
SHERIDAN COUNTY,KS,535359,503582,513458,488,518,571,216,204,193,16,37,24,NC,383,10.23300971
MACOUPIN COUNTY,IL,402310,444816,467453,1308,1509,1754,80,77,56,71,108,117,NC,158,10.23300971
CARROLL COUNTY,IL,238906,259634,270129,657,775,846,48,45,40,39,57,65,NC,107,10.23300971
HOUSTON COUNTY,MN,272049,285056,286561,974,1073,1128,22,13,15,49,50,44,NC,509,10.23300971
CRAWFORD COUNTY,KS,302849,283589,325082,780,809,915,73,61,65,34,40,44,NC,312,10.23300971
MISSISSIPPI COUNTY,MO,265245,259207,253150,293,340,361,104,96,85,14,10,8,NC,635,10.23300971
PUTNAM COUNTY,IL,78081,85254,84630,201,242,261,12,16,16,12,12,18,NC,177,10.23300971
STARK COUNTY,IL,169622,179267,179044,362,434,474,44,38,29,24,27,30,NC,187,10.23300971
PIKE COUNTY,IN,85366,98958,96821,309,382,413,12,14,11,14,24,13,NC,264,10.23300971
SHERMAN COUNTY,KS,620144,625942,672254,500,524,550,211,224,225,12,25,14,NC,384,10.23300971
SHERBURNE COUNTY,MN,117701,124288,134960,530,604,684,20,19,14,20,22,18,NC,552,10.23300971
MOULTRIE COUNTY,IL,184599,184566,183803,491,561,597,54,44,32,44,44,47,NC,169,10.23300971
VANDERBURGH COUNTY,IN,80958,85852,81779,305,378,408,15,9,11,26,40,41,NC,283,10.23300971
SAUK COUNTY,WI,335517,370141,388255,1383,1502,1635,30,24,19,60,54,58,NC,1039,10.23300971
DODGE COUNTY,MN,241148,239443,269247,740,830,933,47,43,49,44,63,76,NC,501,10.23300971
EDWARDS COUNTY,KS,403375,387309,382477,325,361,402,129,144,133,11,10,14,NC,317,10.23300971
GREENE COUNTY,IL,303715,296591,312325,783,827,912,71,66,58,56,62,55,NC,130,10.23300971
NANCE COUNTY,NE,236950,248639,245898,440,508,478,67,71,61,24,52,43,NC,798,10.23300971
POLK COUNTY,IA,229818,238256,247261,832,1001,1110,48,48,39,70,108,100,NC,77,10.23300971
MONROE COUNTY,IA,223638,225145,222200,682,736,761,31,25,24,26,34,28,NC,68,10.23300971
JONES COUNTY,SD,584231,594236,540344,198,213,222,122,137,137,12,17,8,NC,953,10.23300971
WALLACE COUNTY,KS,471658,529749,505916,283,330,338,142,161,148,6,30,27,NC,393,10.23300971
ALLAMAKEE COUNTY,IA,321728,321226,351756,1000,1062,1134,46,37,37,55,61,56,NC,3,10.23300971
THOMAS COUNTY,KS,702549,677199,658558,547,644,628,236,248,221,12,20,18,NC,390,10.23300971
STODDARD COUNTY,MO,438142,434403,423972,953,1159,1338,132,109,94,21,45,62,NC,671,10.23300971
MIAMI COUNTY,IN,188843,196019,198468,771,818,924,33,21,21,75,58,77,NC,253,10.23300971
CHEROKEE COUNTY,IA,336254,338708,340594,979,1091,1214,41,31,18,64,86,94,NC,18,10.23300971
HETTINGER COUNTY,ND,688468,724825,768099,427,525,502,275,301,295,14,14,14,NC,703,10.23300971
RIPLEY COUNTY,IN,164025,173795,173605,963,1071,1165,18,15,15,55,55,67,NC,270,10.23300971
SCOTT COUNTY,MO,219042,241410,229535,545,642,687,70,55,51,36,46,40,NC,668,10.23300971
CLINTON COUNTY,IL,229120,241466,246185,942,1115,1154,20,16,11,75,73,69,NC,113,10.23300971
MARSHALL COUNTY,IA,312858,330012,337775,949,1073,1201,55,46,39,72,94,110,NC,64,10.23300971
SULLIVAN COUNTY,IN,181020,188948,184890,544,599,660,52,48,36,49,43,29,NC,278,10.23300971
MONONA COUNTY,IA,392835,377030,378621,822,854,933,104,93,71,59,50,53,NC,67,10.23300971
JO DAVIESS COUNTY,IL,290454,313934,313436,955,1070,1142,43,39,33,49,61,64,NC,142,10.23300971
SEDGWICK COUNTY,KS,510319,523580,522674,1421,1589,1665,133,116,125,102,135,135,NC,380,10.23300971
HICKORY COUNTY,MO,174314,174007,155011,532,587,562,25,32,22,13,20,13,NC,611,10.23300971
LAWRENCE COUNTY,SD,195077,207123,196321,272,253,245,55,50,51,15,22,22,NC,956,10.23300971
LA SALLE COUNTY,IL,612112,641835,637108,1669,1978,2146,97,77,52,84,106,119,NC,149,10.23300971
DUNDY COUNTY,NE,528731,536373,557748,308,389,382,150,171,178,7,26,17,NC,764,10.23300971
MASSAC COUNTY,IL,98838,103802,104233,401,414,480,23,24,18,11,18,9,NC,163,10.23300971
ALEXANDER COUNTY,IL,69354,73076,78693,171,184,246,20,16,19,2,2,9,NC,101,10.23300971
PENNINGTON COUNTY,MN,280089,305784,313450,480,585,655,93,91,80,14,23,23,NC,538,10.23300971
SANILAC COUNTY,MI,444407,431199,444294,1433,1559,1846,89,71,52,39,63,47,NC,474,10.23300971
MONTCALM COUNTY,MI,224030,238387,240591,900,980,1132,37,36,28,30,48,33,NC,457,10.23300971
WALWORTH COUNTY,SD,448834,410375,421727,378,360,405,158,163,176,26,22,21,NC,980,10.23300971
ALGER COUNTY,MI,16099,16140,17700,58,63,76,2,1,1,2,4,1,NC,400,10.23300971
DOOR COUNTY,WI,130051,147860,155318,760,911,1032,5,3,3,37,26,31,NC,997,10.23300971
