schoolid,gender,math,reading,mathlevel,readlevel,Mi,finalwt
9,F,42,42,2,2,163,61.125
9,F,29,30,1,1,163,61.125
9,M,31,25,1,1,163,61.125
9,F,22,33,1,2,163,61.125
9,M,35,36,1,2,163,61.125
9,F,30,17,1,1,163,61.125
9,M,46,38,2,2,163,61.125
9,F,33,35,1,2,163,61.125
9,M,23,28,1,1,163,61.125
9,F,48,42,2,2,163,61.125
9,F,41,43,2,2,163,61.125
9,F,30,27,1,1,163,61.125
9,F,30,26,1,1,163,61.125
9,M,47,34,2,2,163,61.125
9,F,32,34,1,2,163,61.125
9,M,33,35,1,2,163,61.125
9,M,49,44,2,2,163,61.125
9,F,43,40,2,2,163,61.125
9,F,26,24,1,1,163,61.125
9,F,25,32,1,1,163,61.125
17,M,32,37,1,2,180,67.5
17,F,54,36,2,2,180,67.5
17,F,48,31,2,1,180,67.5
17,F,49,41,2,2,180,67.5
17,F,37,32,1,1,180,67.5
17,M,38,41,1,2,180,67.5
17,F,54,43,2,2,180,67.5
17,M,51,37,2,2,180,67.5
17,M,51,35,2,2,180,67.5
17,M,49,36,2,2,180,67.5
17,M,46,39,2,2,180,67.5
17,F,51,39,2,2,180,67.5
17,M,17,27,1,1,180,67.5
17,M,39,27,1,1,180,67.5
17,F,22,29,1,1,180,67.5
17,F,39,42,1,2,180,67.5
17,M,40,36,1,2,180,67.5
17,F,36,40,1,2,180,67.5
17,M,29,32,1,1,180,67.5
17,M,34,35,1,2,180,67.5
18,M,19,28,1,1,114,42.75
18,F,54,41,2,2,114,42.75
18,F,52,43,2,2,114,42.75
18,M,52,41,2,2,114,42.75
18,F,41,36,2,2,114,42.75
18,F,30,32,1,1,114,42.75
18,F,24,21,1,1,114,42.75
18,F,23,16,1,1,114,42.75
18,F,51,42,2,2,114,42.75
18,M,41,41,2,2,114,42.75
18,M,50,39,2,2,114,42.75
18,M,40,40,1,2,114,42.75
18,M,44,37,2,2,114,42.75
18,F,44,34,2,2,114,42.75
18,M,29,35,1,2,114,42.75
18,M,34,39,1,2,114,42.75
18,M,20,15,1,1,114,42.75
18,F,39,39,1,2,114,42.75
18,M,39,38,1,2,114,42.75
18,F,31,36,1,2,114,42.75
22,M,22,9,1,1,367,137.625
22,F,45,36,2,2,367,137.625
22,F,21,26,1,1,367,137.625
22,F,51,39,2,2,367,137.625
22,F,22,22,1,1,367,137.625
22,F,37,34,1,2,367,137.625
22,M,42,33,2,2,367,137.625
22,F,21,24,1,1,367,137.625
22,M,13,27,1,1,367,137.625
22,F,32,30,1,1,367,137.625
22,F,16,19,1,1,367,137.625
22,M,21,26,1,1,367,137.625
22,F,24,15,1,1,367,137.625
22,M,34,32,1,1,367,137.625
22,M,38,37,1,2,367,137.625
22,M,17,8,1,1,367,137.625
22,F,30,27,1,1,367,137.625
22,M,30,24,1,1,367,137.625
22,M,24,24,1,1,367,137.625
22,F,19,22,1,1,367,137.625
35,M,42,38,2,2,109,40.875
35,M,51,32,2,1,109,40.875
35,M,38,35,1,2,109,40.875
35,M,50,44,2,2,109,40.875
35,F,55,43,2,2,109,40.875
35,M,58,43,2,2,109,40.875
35,M,55,43,2,2,109,40.875
35,M,38,30,1,1,109,40.875
35,M,35,25,1,1,109,40.875
35,F,47,35,2,2,109,40.875
35,F,43,38,2,2,109,40.875
35,F,47,30,2,1,109,40.875
35,M,55,43,2,2,109,40.875
35,F,42,30,2,1,109,40.875
35,F,41,38,2,2,109,40.875
35,F,47,38,2,2,109,40.875
35,F,55,44,2,2,109,40.875
35,F,38,31,1,1,109,40.875
35,M,38,38,1,2,109,40.875
35,F,47,42,2,2,109,40.875
43,M,24,20,1,1,219,82.125
43,F,16,34,1,2,219,82.125
43,M,23,19,1,1,219,82.125
43,M,21,16,1,1,219,82.125
43,M,41,38,2,2,219,82.125
43,F,51,40,2,2,219,82.125
43,F,22,16,1,1,219,82.125
43,F,11,31,1,1,219,82.125
43,F,22,26,1,1,219,82.125
43,M,50,36,2,2,219,82.125
43,F,43,41,2,2,219,82.125
43,M,36,34,1,2,219,82.125
43,M,33,34,1,2,219,82.125
43,M,52,39,2,2,219,82.125
43,F,24,27,1,1,219,82.125
43,M,36,27,1,1,219,82.125
43,M,53,40,2,2,219,82.125
43,F,28,22,1,1,219,82.125
43,F,35,23,1,1,219,82.125
43,M,23,11,1,1,219,82.125
46,F,21,15,1,1,318,119.25
46,M,18,18,1,1,318,119.25
46,M,39,37,1,2,318,119.25
46,M,34,37,1,2,318,119.25
46,F,33,33,1,2,318,119.25
46,M,22,20,1,1,318,119.25
46,F,35,35,1,2,318,119.25
46,M,41,42,2,2,318,119.25
46,F,35,41,1,2,318,119.25
46,F,37,33,1,2,318,119.25
46,F,48,42,2,2,318,119.25
46,F,27,33,1,2,318,119.25
46,M,44,44,2,2,318,119.25
46,M,27,29,1,1,318,119.25
46,M,17,25,1,1,318,119.25
46,M,20,32,1,1,318,119.25
46,M,36,35,1,2,318,119.25
46,F,18,31,1,1,318,119.25
46,F,35,39,1,2,318,119.25
46,M,25,30,1,1,318,119.25
55,F,19,25,1,1,259,97.125
55,M,44,44,2,2,259,97.125
55,F,37,37,1,2,259,97.125
55,M,31,26,1,1,259,97.125
55,M,49,40,2,2,259,97.125
55,M,43,34,2,2,259,97.125
55,M,17,36,1,2,259,97.125
55,M,39,22,1,1,259,97.125
55,M,43,41,2,2,259,97.125
55,M,25,38,1,2,259,97.125
55,M,24,21,1,1,259,97.125
55,M,46,41,2,2,259,97.125
55,M,54,42,2,2,259,97.125
55,F,41,42,2,2,259,97.125
55,F,51,43,2,2,259,97.125
55,F,30,25,1,1,259,97.125
